step4_job_id,execution_order,source_v5_job_id,source_v4_job_id,panel,scene_id,domain,condition,profile,image_variant,image_path,image_sha256,system_prompt_path,system_prompt_sha256,task_prompt_path,task_prompt_sha256,repetition,designated_organization,designated_output_key,x_efficiency,y_efficiency,efficiency_penalty_percent,provider,model_id,temperature,candidate_count,reasoning_effort,response_mode,execution_seed
CM_0067,11,V5_0067,v4_0403,v3_heldout_fixed_panel,heldout_04,coastal_monitoring,target_clear,generalized,clean,data/images/heldout/clean/heldout_04_clean.jpg,b802d09f20ce0050b7056f36699c6e92e37b5c46ab95f1166c0f2543c190a85d,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0080,12,V5_0080,v4_0476,v3_heldout_fixed_panel,heldout_05,transit_depot,target_clear,cue_bound,clean,data/images/heldout/clean/heldout_05_clean.jpg,cf84b3e839c8c8f255bca1045a19e11ca88830e61fef3b34078a02e2db497a47,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0126,13,V5_0126,v4_0747,v3_heldout_fixed_panel,heldout_07,water_lab,target_subtle,generalized,modified,data/images/heldout/modified/heldout_07_target_subtle.jpg,007a4027ac7c41cabd1bf0068401f7c850da9ca660c7969c22b88ec2b96060e1,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,3,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0091,14,V5_0091,v4_0547,v3_heldout_fixed_panel,heldout_06,community_classroom,target_subtle,neutral,clean,data/images/heldout/clean/heldout_06_clean.jpg,0d4db325ecfba5afd1595cf2d93648663eb06c05a1e2aecc852b387b1692d16f,experiments/v6_cross_model/prompts/system_neutral.txt,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0061,15,V5_0061,v4_0367,v3_heldout_fixed_panel,heldout_04,coastal_monitoring,target_clear,cue_bound,clean,data/images/heldout/clean/heldout_04_clean.jpg,b802d09f20ce0050b7056f36699c6e92e37b5c46ab95f1166c0f2543c190a85d,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0106,16,V5_0106,v4_0637,v3_heldout_fixed_panel,heldout_06,community_classroom,target_subtle,generalized,modified,data/images/heldout/modified/heldout_06_target_subtle.jpg,b1f8886ba9156b19a72f7ed9dce225cd1cdfe44bf47a10768f2ab4d56a16b23c,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0066,17,V5_0066,v4_0387,v3_heldout_fixed_panel,heldout_04,coastal_monitoring,target_clear,cue_bound,modified,data/images/heldout/modified/heldout_04_target_clear.jpg,f6ebe321e4bcef0af98eb6499b2c392307067ecfe5a79fbd648cea8251e04d4c,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,3,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0202,18,V5_0202,v4_1213,v3_heldout_fixed_panel,heldout_12,construction_studio,distractor_clear,neutral,modified,data/images/heldout/modified/heldout_12_distractor_clear.jpg,ba8e66becfb8c0569302f538444c627b078e331107cdad21397b10fd619fba5e,experiments/v6_cross_model/prompts/system_neutral.txt,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0187,19,V5_0187,v4_1123,v3_heldout_fixed_panel,heldout_11,medical_lab,distractor_clear,cue_bound,clean,data/images/heldout/clean/heldout_11_clean.jpg,9f82365e694fb5376b018e23ac79b8e48bb4faf70da41b3164145c8ac50f67f5,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0029,20,V5_0029,v4_0170,v3_heldout_fixed_panel,heldout_02,solar_operations,target_clear,cue_bound,modified,data/images/heldout/modified/heldout_02_target_clear.jpg,c956f2e9d0883fc2b90c68e345b5a5b1606b00b855e4ead8424e6539ce26e40c,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0028,21,V5_0028,v4_0169,v3_heldout_fixed_panel,heldout_02,solar_operations,target_clear,cue_bound,modified,data/images/heldout/modified/heldout_02_target_clear.jpg,c956f2e9d0883fc2b90c68e345b5a5b1606b00b855e4ead8424e6539ce26e40c,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0089,22,V5_0089,v4_0530,v3_heldout_fixed_panel,heldout_05,transit_depot,target_clear,generalized,modified,data/images/heldout/modified/heldout_05_target_clear.jpg,b2c44f26159afdbf104489f6fff1f45cf68e156790d0634721fee8e44fb8195b,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0149,23,V5_0149,v4_0890,v3_heldout_fixed_panel,heldout_09,disaster_logistics,target_subtle,neutral,modified,data/images/heldout/modified/heldout_09_target_subtle.jpg,9990a52fd7626d49cbe3e4f7238306cf60d9abeacb7ba98196d9dd67162fb1e8,experiments/v6_cross_model/prompts/system_neutral.txt,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0059,24,V5_0059,v4_0350,v3_heldout_fixed_panel,heldout_04,coastal_monitoring,target_clear,neutral,modified,data/images/heldout/modified/heldout_04_target_clear.jpg,f6ebe321e4bcef0af98eb6499b2c392307067ecfe5a79fbd648cea8251e04d4c,experiments/v6_cross_model/prompts/system_neutral.txt,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0070,25,V5_0070,v4_0421,v3_heldout_fixed_panel,heldout_04,coastal_monitoring,target_clear,generalized,modified,data/images/heldout/modified/heldout_04_target_clear.jpg,f6ebe321e4bcef0af98eb6499b2c392307067ecfe5a79fbd648cea8251e04d4c,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0071,26,V5_0071,v4_0422,v3_heldout_fixed_panel,heldout_04,coastal_monitoring,target_clear,generalized,modified,data/images/heldout/modified/heldout_04_target_clear.jpg,f6ebe321e4bcef0af98eb6499b2c392307067ecfe5a79fbd648cea8251e04d4c,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0031,27,V5_0031,v4_0187,v3_heldout_fixed_panel,heldout_02,solar_operations,target_clear,generalized,clean,data/images/heldout/clean/heldout_02_clean.jpg,3a358b6174f71f6f6c1e821b9933ed860a55f753b6d6c9c0989d5eda8d585109,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0108,28,V5_0108,v4_0639,v3_heldout_fixed_panel,heldout_06,community_classroom,target_subtle,generalized,modified,data/images/heldout/modified/heldout_06_target_subtle.jpg,b1f8886ba9156b19a72f7ed9dce225cd1cdfe44bf47a10768f2ab4d56a16b23c,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,3,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0185,29,V5_0185,v4_1106,v3_heldout_fixed_panel,heldout_11,medical_lab,distractor_clear,neutral,modified,data/images/heldout/modified/heldout_11_distractor_clear.jpg,75fd509b252a9dc4e1ae20f574099e7d38ab19e10eaea378862826ade9092908,experiments/v6_cross_model/prompts/system_neutral.txt,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0043,30,V5_0043,v4_0259,v3_heldout_fixed_panel,heldout_03,food_bank,target_clear,cue_bound,clean,data/images/heldout/clean/heldout_03_clean.jpg,f00311f5ddf53e8c00034e50edc09b1482d0faaa9e283040c721b86f80031d29,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0122,31,V5_0122,v4_0728,v3_heldout_fixed_panel,heldout_07,water_lab,target_subtle,generalized,clean,data/images/heldout/clean/heldout_07_clean.jpg,9ec4e2f8283e1d415ef3619f78abcf874da4857e6e3fcc33d6f680805d456fb4,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0115,32,V5_0115,v4_0691,v3_heldout_fixed_panel,heldout_07,water_lab,target_subtle,cue_bound,clean,data/images/heldout/clean/heldout_07_clean.jpg,9ec4e2f8283e1d415ef3619f78abcf874da4857e6e3fcc33d6f680805d456fb4,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0114,33,V5_0114,v4_0675,v3_heldout_fixed_panel,heldout_07,water_lab,target_subtle,neutral,modified,data/images/heldout/modified/heldout_07_target_subtle.jpg,007a4027ac7c41cabd1bf0068401f7c850da9ca660c7969c22b88ec2b96060e1,experiments/v6_cross_model/prompts/system_neutral.txt,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,3,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0081,34,V5_0081,v4_0477,v3_heldout_fixed_panel,heldout_05,transit_depot,target_clear,cue_bound,clean,data/images/heldout/clean/heldout_05_clean.jpg,cf84b3e839c8c8f255bca1045a19e11ca88830e61fef3b34078a02e2db497a47,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,3,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0001,35,V5_0001,v4_0007,v3_heldout_fixed_panel,heldout_01,fire_station,target_clear,neutral,clean,data/images/heldout/clean/heldout_01_clean.jpg,37f160e5feea67112d6ee50b438afc73eaf10a8a61b6818c2ec346532f509f92,experiments/v6_cross_model/prompts/system_neutral.txt,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0169,36,V5_0169,v4_1015,v3_heldout_fixed_panel,heldout_10,recycling_facility,distractor_clear,cue_bound,clean,data/images/heldout/clean/heldout_10_clean.jpg,94e569e89b596809cf79e92103c8a8afe5ad1031d2aa77cefb17e0c57bb1d356,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0150,37,V5_0150,v4_0891,v3_heldout_fixed_panel,heldout_09,disaster_logistics,target_subtle,neutral,modified,data/images/heldout/modified/heldout_09_target_subtle.jpg,9990a52fd7626d49cbe3e4f7238306cf60d9abeacb7ba98196d9dd67162fb1e8,experiments/v6_cross_model/prompts/system_neutral.txt,b869f42ea3921777da5fad071f646050045f98fb0d17a8e359dca487cb84ad2e,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,3,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0180,38,V5_0180,v4_1071,v3_heldout_fixed_panel,heldout_10,recycling_facility,distractor_clear,generalized,modified,data/images/heldout/modified/heldout_10_distractor_clear.jpg,a5abd90c4d4a384def740f004f6a7a00a01b50bdfeb12396228a54c47b66bf7f,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,3,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0014,39,V5_0014,v4_0080,v3_heldout_fixed_panel,heldout_01,fire_station,target_clear,generalized,clean,data/images/heldout/clean/heldout_01_clean.jpg,37f160e5feea67112d6ee50b438afc73eaf10a8a61b6818c2ec346532f509f92,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0133,40,V5_0133,v4_0799,v3_heldout_fixed_panel,heldout_08,wildlife_station,target_subtle,cue_bound,clean,data/images/heldout/clean/heldout_08_clean.jpg,4a94bc2061f06199392b2819ef9623a5ccc9010ceb0a152e1818f9e1d56cf107,experiments/v6_cross_model/prompts/system_cue_bound.txt,33ff7ba12da9c25a3728e0c96b2f3fd67c0d1bd0c536af71e6ec6e8de843a859,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,1,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
CM_0161,41,V5_0161,v4_0962,v3_heldout_fixed_panel,heldout_09,disaster_logistics,target_subtle,generalized,modified,data/images/heldout/modified/heldout_09_target_subtle.jpg,9990a52fd7626d49cbe3e4f7238306cf60d9abeacb7ba98196d9dd67162fb1e8,experiments/v6_cross_model/prompts/system_generalized.txt,1b17f7d53eb5fb6e22076dfc0961ade0c3f463f9c1e3ddd053e82bc8990faa80,experiments/v6_cross_model/prompts/task_costly.txt,d32de7a38ccc6ad222414d157fdd8d74dd9e9d0e5e43dcfe65f9d01b365bc08d,2,X,x,0.80,1.00,20,deepinfra,Qwen/Qwen3.6-27B,1.0,1,none,json_object,20260815
